COMID,REGIONID,WETTED_WIDTH_M
6730771,Region01,0
6731595,Region01,2.42
6730867,Region01,2.07
6729633,Region01,2.02
6738382,Region01,0
6728963,Region01,0
6728651,Region01,5.05
6739618,Region01,0
6730873,Region01,0
6730861,Region01,3.78
6739616,Region01,8.56
6730945,Region01,4.36
6730981,Region01,0
6731365,Region01,42.36
6731373,Region01,42.79
6730035,Region01,3.11
6731329,Region01,0
6730071,Region01,3.5
6730033,Region01,0
6730025,Region01,0
6730019,Region01,4.38
6729977,Region01,4.97
6729965,Region01,2.76
6728647,Region01,0
6728683,Region01,6.01
6730529,Region01,0
6731209,Region01,0
6728747,Region01,6.08
6738470,Region01,5.77
6731275,Region01,36.04
6739664,Region01,0
6739594,Region01,3.46
6732807,Region01,0
6731759,Region01,34.39
6741718,Region01,3.3
6730965,Region01,0
6730815,Region01,0
6731319,Region01,0
6730077,Region01,5.95
6729909,Region01,0
6729967,Region01,3.02
6730005,Region01,4.9
6730057,Region01,0
6730063,Region01,4.35
6731671,Region01,0
6728787,Region01,0
6731237,Region01,0
6731661,Region01,0
6738312,Region01,0
6738310,Region01,0
6732809,Region01,0
6738408,Region01,4.34
6730889,Region01,0
6728729,Region01,6.29
6730857,Region01,4.07
6730417,Region01,2.98
6730927,Region01,0
6731033,Region01,0
6730213,Region01,0
6730219,Region01,0
6730215,Region01,3.42
6730343,Region01,0
6731395,Region01,0
6731331,Region01,0
6729983,Region01,0
6731587,Region01,2.84
6728797,Region01,0
6738486,Region01,3.52
6738482,Region01,0
6738488,Region01,4.1
6738464,Region01,0
6731555,Region01,0
6731557,Region01,0
6731453,Region01,0
6731469,Region01,0
6741662,Region01,0
6741660,Region01,0
6741756,Region01,86.51
6738480,Region01,3.14
6738490,Region01,6.4
6738544,Region01,0
6738542,Region01,0
6738532,Region01,2.74
6738554,Region01,3.82
6731457,Region01,0
6731387,Region01,0
6731415,Region01,0
6731417,Region01,0
6741668,Region01,0
6741572,Region01,0
6738550,Region01,0
6738560,Region01,3.09
6738562,Region01,0
6738552,Region01,4.76
6731429,Region01,0
6731431,Region01,0
6731433,Region01,0
6731435,Region01,0
6731437,Region01,0
6741574,Region01,0
6741576,Region01,0
6738564,Region01,5.93
6739638,Region01,3.97
6739660,Region01,0
6739680,Region01,0
6731439,Region01,0
6731441,Region01,0
6731443,Region01,0
6731445,Region01,0
6741578,Region01,0
6741584,Region01,0
6741586,Region01,0
6741592,Region01,0
6739676,Region01,0
6739608,Region01,0
6742296,Region01,0
6739796,Region01,3.55
6739822,Region01,0
6741626,Region01,0
6742480,Region01,0
6741610,Region01,0
6741600,Region01,0
6731447,Region01,0
6731449,Region01,0
6731385,Region01,0
6731419,Region01,0
6730075,Region01,0
6732105,Region01,0
6731015,Region01,4.35
6738660,Region01,0
6739862,Region01,4.46
6741598,Region01,0
6741632,Region01,0
6738640,Region01,5.39
6731421,Region01,0
6731423,Region01,0
6732989,Region01,0
6732991,Region01,0
6732999,Region01,0
6733001,Region01,0
6731231,Region01,0
6738348,Region01,0
6732795,Region01,2.94
6738420,Region01,4.52
6739806,Region01,5
6739798,Region01,6.21
6739610,Region01,3.25
6739674,Region01,5.35
6738328,Region01,0
6738324,Region01,2.86
6738340,Region01,2.71
6738334,Region01,0
6738646,Region01,4.34
6732997,Region01,0
6731725,Region01,0
6731345,Region01,0
6731347,Region01,0
6738456,Region01,0
6738472,Region01,3.34
6738474,Region01,0
6739684,Region01,5.74
6738516,Region01,50.04
6741658,Region01,51.97
6738314,Region01,0
6738316,Region01,4.19
6738642,Region01,5.23
6738330,Region01,7.32
6731349,Region01,0
6731477,Region01,0
6731479,Region01,0
6731481,Region01,0
6731043,Region01,0
6752138,Region01,86.94
6739716,Region01,3.08
6739724,Region01,54.08
6739744,Region01,54.06
6739752,Region01,54.13
6739780,Region01,53.35
6739778,Region01,53.98
6738644,Region01,10.98
6738300,Region01,0
6738304,Region01,6.01
6731647,Region01,0
6731653,Region01,0
6731645,Region01,0
6731681,Region01,0
6731683,Region01,0
6738358,Region01,0
6732793,Region01,0
6738714,Region01,0
6738460,Region01,5.08
6741322,Region01,3.01
6739694,Region01,3.8
6738576,Region01,3.59
6739768,Region01,0
6741754,Region01,54.39
6739762,Region01,53.97
6732815,Region01,2.86
6738636,Region01,0
6738302,Region01,7.12
6738890,Region01,0
6738306,Region01,3.42
6738322,Region01,0
6738332,Region01,0
6731685,Region01,0
6731687,Region01,0
6731697,Region01,0
6731521,Region01,0
6731527,Region01,0
6738374,Region01,3.46
6732053,Region01,2.3
6728857,Region01,0
6738548,Region01,0
6738522,Region01,0
6738546,Region01,3.69
6734881,Region01,87.16
166174264,Region01,0
166174263,Region01,0
166174262,Region01,0
6738892,Region01,0
6738352,Region01,0
6738650,Region01,6.3
6738638,Region01,0
6731529,Region01,0
6731531,Region01,0
6731533,Region01,0
6731549,Region01,0
6731369,Region01,42.42
6738438,Region01,4.41
6739800,Region01,11.09
6738536,Region01,5.81
6738570,Region01,0
6739666,Region01,10.03
166174261,Region01,0
166174260,Region01,0
166174259,Region01,0
166174256,Region01,0
166174255,Region01,0
6738378,Region01,0
6738418,Region01,0
6738458,Region01,0
6731559,Region01,0
6731561,Region01,0
6731563,Region01,0
6731567,Region01,0
6731669,Region01,0
6738520,Region01,0
6738506,Region01,0
6738652,Region01,3.33
6739580,Region01,1.93
6739754,Region01,13.06
6738832,Region01,0
6741622,Region01,0
6741724,Region01,0
6742482,Region01,0
6742484,Region01,0
6741758,Region01,0
6738634,Region01,6.47
6738292,Region01,0
6738446,Region01,0
6738344,Region01,0
6731569,Region01,0
6731571,Region01,0
6731573,Region01,0
6731581,Region01,0
6731519,Region01,0
6738822,Region01,0
6738370,Region01,3.68
6738430,Region01,12.91
6738440,Region01,3.66
6739706,Region01,10.93
6739750,Region01,13.16
6739696,Region01,12.33
6738530,Region01,0
6741760,Region01,0
6741766,Region01,0
6731357,Region01,0
6731367,Region01,0
6738350,Region01,3.55
6738764,Region01,0
6738364,Region01,3.5
6738386,Region01,0
6731335,Region01,0
6731337,Region01,0
6731339,Region01,0
6731483,Region01,0
6738360,Region01,0
6738384,Region01,5.2
6738428,Region01,12.4
6739782,Region01,9.74
6738568,Region01,0
6738900,Region01,0
6732101,Region01,0
6732103,Region01,0
6732099,Region01,0
6731359,Region01,0
6738388,Region01,0
6738396,Region01,0
6738346,Region01,0
6738366,Region01,3.49
6731475,Region01,0
6731473,Region01,0
6739620,Region01,9.08
6741740,Region01,86.42
6738410,Region01,3.59
6738432,Region01,12.9
6738414,Region01,0
6738342,Region01,4.93
6739740,Region01,12.02
6739602,Region01,0
6738662,Region01,3.95
6738556,Region01,3.66
6731619,Region01,0
6731633,Region01,0
6731637,Region01,0
6731635,Region01,0
6738380,Region01,5.1
6738398,Region01,9.37
6741720,Region01,87.1
6739738,Region01,2.45
6739628,Region01,9.92
6739596,Region01,0
6739672,Region01,12.4
6738412,Region01,4.68
6738406,Region01,6.14
6738356,Region01,4.74
6738400,Region01,0
6741624,Region01,0
6738676,Region01,0
6738678,Region01,0
6738680,Region01,0
6731627,Region01,0
6731617,Region01,0
6731545,Region01,0
6738658,Region01,12.36
6738426,Region01,4.5
6738422,Region01,0
6738484,Region01,0
6738494,Region01,0
6739728,Region01,11.08
6738528,Region01,3.47
6738874,Region01,0
6738876,Region01,0
6738878,Region01,0
6738880,Region01,0
6739860,Region01,1.98
6739812,Region01,4.05
6739790,Region01,4.8
6742290,Region01,0
6739598,Region01,0
6739690,Region01,4.01
6739692,Region01,0
6739712,Region01,0
6738762,Region01,0
6738768,Region01,0
6738882,Region01,0
6738884,Region01,0
6738886,Region01,0
6741646,Region01,0
6741648,Region01,0
6741654,Region01,0
6739776,Region01,3.15
6739760,Region01,11.19
6741330,Region01,11.93
6742286,Region01,0
6739742,Region01,0
6739698,Region01,0
6739582,Region01,4.8
6738770,Region01,0
6738772,Region01,0
6738838,Region01,0
6741664,Region01,0
6741670,Region01,0
6741680,Region01,0
6738580,Region01,4.32
6739650,Region01,8.22
6738672,Region01,0
6738674,Region01,0
6738666,Region01,0
6738774,Region01,0
6738776,Region01,0
6742476,Region01,0
6742474,Region01,0
6741672,Region01,0
6741666,Region01,0
6738668,Region01,0
6760868,Region01,6.52
6763386,Region01,0
6763380,Region01,2.58
6738778,Region01,0
6738780,Region01,0
6738782,Region01,0
6738784,Region01,0
6739772,Region01,53.62
6739756,Region01,53.62
6741326,Region01,53.65
6739688,Region01,53.44
6738394,Region01,0
6741332,Region01,13.63
6741324,Region01,12.98
6739736,Region01,3.54
6739734,Region01,0
6763412,Region01,3.4
6763410,Region01,3.12
6763438,Region01,4
6765248,Region01,4.33
6738786,Region01,0
6738790,Region01,0
6738794,Region01,0
6738796,Region01,0
6738296,Region01,3.57
6738298,Region01,0
6738288,Region01,0
6738258,Region01,0
6738632,Region01,0
6739770,Region01,0
6739746,Region01,3.3
6739732,Region01,0
6763436,Region01,4.3
6763418,Region01,4.52
6763402,Region01,4.63
6763394,Region01,5.37
6763392,Region01,5.11
6763388,Region01,5.59
6738798,Region01,0
6738800,Region01,0
6738802,Region01,0
6738808,Region01,0
6738246,Region01,0
6738248,Region01,0
6738252,Region01,0
6764060,Region01,29.85
6739624,Region01,0
6739622,Region01,2.63
6739726,Region01,3.9
6741316,Region01,5.09
6738508,Region01,0
6763384,Region01,5.55
6763398,Region01,7.63
6763408,Region01,7.56
6765040,Region01,7.09
6738810,Region01,0
6738812,Region01,0
6738814,Region01,0
6738818,Region01,0
6738888,Region01,0
6738260,Region01,2.86
6738254,Region01,5.4
6738256,Region01,6.42
6738526,Region01,4.71
6738558,Region01,0
6738510,Region01,5.52
6738476,Region01,0
6763420,Region01,7.26
6763976,Region01,7.09
6763974,Region01,7.61
6763972,Region01,7.86
6738820,Region01,0
6738824,Region01,0
6738262,Region01,7.07
6738264,Region01,4.08
6738266,Region01,7.5
6738268,Region01,8.46
6738274,Region01,0
6738898,Region01,0
6738454,Region01,4.39
6738670,Region01,0
6763968,Region01,8.83
6763966,Region01,9.51
6763984,Region01,10.65
6761726,Region01,5.29
6765238,Region01,0
6738826,Region01,0
6738828,Region01,0
6738836,Region01,0
6738842,Region01,0
6738280,Region01,0
6738282,Region01,0
6738276,Region01,0
6738270,Region01,5.34
6738462,Region01,4.99
6738466,Region01,0
6738502,Region01,0
6738566,Region01,5.31
6738478,Region01,5.93
6738448,Region01,7.4
6741640,Region01,0
6741634,Region01,0
6741628,Region01,0
6738722,Region01,0
6738736,Region01,0
6738844,Region01,0
6738846,Region01,0
6738848,Region01,0
6738290,Region01,5.98
6738286,Region01,6.42
6738278,Region01,0
6738272,Region01,9.97
6738444,Region01,0
6738450,Region01,3.65
6738442,Region01,4.58
6738434,Region01,10.59
6738738,Region01,0
6738740,Region01,0
6738742,Region01,0
6738744,Region01,0
6738856,Region01,0
6738858,Region01,0
6738860,Region01,0
6738284,Region01,12.16
6738294,Region01,12.02
6741328,Region01,0
6739678,Region01,0
6739748,Region01,0
6738452,Region01,0
6738850,Region01,0
6738538,Region01,0
6738746,Region01,0
6738748,Region01,0
6738718,Region01,0
6738720,Region01,0
6738862,Region01,0
6738864,Region01,0
6738870,Region01,0
6738872,Region01,0
6752126,Region01,4.22
6742294,Region01,0
6739832,Region01,4.89
6742288,Region01,0
6738500,Region01,7.09
6738518,Region01,4.64
6738514,Region01,0
6738504,Region01,7.04
6738724,Region01,0
6738726,Region01,0
6738728,Region01,0
6738730,Region01,0
6738698,Region01,0
6738906,Region01,0
6741582,Region01,0
6741588,Region01,0
6739766,Region01,4.54
6741676,Region01,0
6739718,Region01,5.33
6739636,Region01,0
6738540,Region01,3.73
6739592,Region01,6.2
6741344,Region01,0
6741336,Region01,0
6738690,Region01,0
6738732,Region01,0
6738694,Region01,0
6738684,Region01,0
6741590,Region01,0
6741594,Region01,0
6738788,Region01,0
6738804,Region01,0
6739662,Region01,0
6739658,Region01,0
6739704,Region01,0
6739606,Region01,0
6741338,Region01,0
6741334,Region01,4.38
6741342,Region01,5.5
6741340,Region01,6.38
6738700,Region01,0
6738734,Region01,0
6738716,Region01,0
6738682,Region01,0
6738816,Region01,0
6738806,Region01,0
6738792,Region01,0
6738840,Region01,0
6738710,Region01,0
6738712,Region01,0
6738754,Region01,0
6739626,Region01,5.18
6739634,Region01,5.27
6739654,Region01,5.35
6739686,Region01,6.96
6739828,Region01,7.78
6742282,Region01,0
6738688,Region01,0
6738692,Region01,0
6738696,Region01,0
6741596,Region01,0
6741602,Region01,0
6738852,Region01,0
6738854,Region01,0
6738866,Region01,0
6738868,Region01,0
6738756,Region01,0
6738758,Region01,0
6738760,Region01,0
6739758,Region01,10.44
6739810,Region01,0
6739856,Region01,0
6739708,Region01,2.83
6742280,Region01,0
6739652,Region01,3.06
6739640,Region01,3.33
6739578,Region01,0
6741604,Region01,0
6742478,Region01,0
166181872,Region01,14.28
166181871,Region01,0
166181870,Region01,11.79
6763674,Region01,8.1
6761384,Region01,9.47
6760802,Region01,5.75
6760784,Region01,5.18
6761478,Region01,35.98
6761474,Region01,35.96
6761470,Region01,36.09
6763452,Region01,0
6767464,Region01,12.83
6764046,Region01,7.76
6764006,Region01,6.48
6764032,Region01,12.91
6763116,Region01,0
6764014,Region01,30.1
6741692,Region01,0
6741684,Region01,0
6741686,Region01,0
6741682,Region01,0
6741678,Region01,0
6763492,Region01,0
6763132,Region01,0
6761356,Region01,8.48
6762972,Region01,8.07
6761402,Region01,12.75
6761428,Region01,22.87
6763372,Region01,3.64
6772473,Region01,0
6772105,Region01,3.63
166196081,Region01,0
166196080,Region01,4.59
24902242,Region01,0
6772533,Region01,3.64
6773047,Region01,2.79
6773271,Region01,0
6773381,Region01,3.67
6772073,Region01,2.6
6772591,Region01,5.97
6772587,Region01,3.11
6772559,Region01,12.3
6772557,Region01,11.47
6772597,Region01,2.69
6773135,Region01,0
6773137,Region01,0
6771085,Region01,5.04
6771083,Region01,11.13
6771289,Region01,5.04
6771077,Region01,10.83
6773209,Region01,0
6773035,Region01,0
6771143,Region01,6.24
6772093,Region01,5.28
6772095,Region01,4.9
6772397,Region01,2.76
6772115,Region01,5.34
6773065,Region01,0
6773061,Region01,0
6772135,Region01,6.44
6773319,Region01,0
6741090,Region01,11.87
6740868,Region01,3.96
6772375,Region01,0
6773299,Region01,0
6772415,Region01,3.43
6772943,Region01,5.38
6740872,Region01,6.26
6741068,Region01,33.17
6741008,Region01,5.03
6771301,Region01,4.68
6771357,Region01,0
6771399,Region01,5.68
6771299,Region01,5.68
6742144,Region01,154.91
6742230,Region01,152.42
6740686,Region01,7.44
6740586,Region01,6.94
6741452,Region01,4.22
6741176,Region01,13.4
6740984,Region01,4.17
6741140,Region01,2.43
6772449,Region01,6
6772451,Region01,6.09
6772457,Region01,6.06
6772973,Region01,5.24
6772971,Region01,6.28
6740628,Region01,5.03
6740654,Region01,2.53
6773267,Region01,0
6773023,Region01,0
6772141,Region01,2.84
6745646,Region01,153.22
6742118,Region01,153.94
6740926,Region01,5.61
6740952,Region01,10.05
6773225,Region01,0
6740824,Region01,3.09
6742078,Region01,2.87
6740766,Region01,0
6772967,Region01,10.08
6772949,Region01,10.16
6772425,Region01,10.35
6772409,Region01,11.71
6742260,Region01,0
6741480,Region01,13.15
6745356,Region01,5.54
6740840,Region01,7.39
6741170,Region01,6.09
6772137,Region01,2.92
6772215,Region01,3.34
6773069,Region01,0
6773063,Region01,0
6772203,Region01,4.24
6740944,Region01,5.69
6773369,Region01,7.08
6773357,Region01,7.79
6742158,Region01,0
6772389,Region01,2.79
6773297,Region01,0
6772917,Region01,3.65
6772353,Region01,2.69
6741118,Region01,34.42
6741094,Region01,33.49
6741092,Region01,5.8
6772201,Region01,4.67
6773059,Region01,0
6772191,Region01,3.64
6772113,Region01,3.27
6742248,Region01,0
6773205,Region01,0
6773323,Region01,0
6773321,Region01,0
6773371,Region01,14.26
6742100,Region01,5.54
6741108,Region01,3.1
6741112,Region01,3.39
6772341,Region01,0
6772905,Region01,2.92
6773295,Region01,0
6772899,Region01,2.41
6772901,Region01,2.86
6740708,Region01,0
6772167,Region01,3.39
6772117,Region01,4.05
6772207,Region01,5.51
6772189,Region01,3.56
6741072,Region01,33.49
6740652,Region01,12.44
6772913,Region01,10.97
6772955,Region01,3.74
6773331,Region01,26.03
6772273,Region01,3.09
6773151,Region01,0
6772293,Region01,2.99
6772321,Region01,3.48
6772883,Region01,4.13
6740716,Region01,2.88
6740678,Region01,5.62
6740968,Region01,10.49
6742254,Region01,34.67
6741098,Region01,34.4
6772187,Region01,2.19
6772193,Region01,4.02
6772199,Region01,5.87
6773335,Region01,0
6773275,Region01,0
6772209,Region01,4.2
6742162,Region01,154.91
6773327,Region01,26.03
6773067,Region01,25.73
6773105,Region01,0
6772161,Region01,30.73
6772277,Region01,0
6773149,Region01,0
6772331,Region01,0
6773123,Region01,0
6743648,Region01,34.67
6741488,Region01,5.46
6747202,Region01,3.67
6773169,Region01,0
6772325,Region01,4.49
6773145,Region01,0
6773147,Region01,3.59
6772335,Region01,3.22
6742380,Region01,0
6771397,Region01,51.32
6772455,Region01,10.52
6772443,Region01,1.91
6772257,Region01,6.03
6773121,Region01,0
6772263,Region01,5.19
6772245,Region01,5.28
6747490,Region01,0
6773237,Region01,0
6773139,Region01,0
6772885,Region01,5.75
6772249,Region01,4.43
6740780,Region01,4.17
6741508,Region01,3.16
6741504,Region01,6.11
6771359,Region01,49.91
6772247,Region01,2.76
6773283,Region01,0
6772239,Region01,4.56
6772241,Region01,2.97
6773277,Region01,0
6773171,Region01,0
6773215,Region01,0
6773253,Region01,0
6772259,Region01,4.57
6772261,Region01,4.53
6773337,Region01,0
6773303,Region01,0
6772931,Region01,4.92
6740688,Region01,14.79
6740964,Region01,4.94
6742220,Region01,0
6773113,Region01,2.3
6773053,Region01,0
6772849,Region01,4.53
6741120,Region01,4.06
6741122,Region01,3.42
6773279,Region01,0
6772243,Region01,4.56
6772871,Region01,3.61
6773097,Region01,0
6772091,Region01,3.63
6773197,Region01,0
6773211,Region01,0
6773099,Region01,0
6773101,Region01,0
6772921,Region01,2.35
6772925,Region01,10.38
6773311,Region01,0
6772511,Region01,2.42
6772981,Region01,0
6772577,Region01,5.82
6772979,Region01,5.69
6772879,Region01,16.03
6741138,Region01,5.16
6741102,Region01,2.43
6740564,Region01,0
6773325,Region01,6.29
6773379,Region01,5.34
6772237,Region01,5.92
6772865,Region01,3.26
6773107,Region01,0
6773235,Region01,0
6773201,Region01,0
6772569,Region01,3.95
6772579,Region01,0
6772983,Region01,3.31
6773317,Region01,0
6741030,Region01,19.31
6742250,Region01,0
6741500,Region01,18.59
6741134,Region01,11.12
6741132,Region01,11.18
6772881,Region01,16.07
6773005,Region01,4.71
6740894,Region01,5.56
6740684,Region01,5.2
6741454,Region01,3.77
6772923,Region01,0
6772861,Region01,3.02
6772859,Region01,4.19
6773273,Region01,0
6772171,Region01,2.16
6772183,Region01,4.51
6773073,Region01,0
6772069,Region01,5.02
6773103,Region01,0
6772545,Region01,3.27
6772539,Region01,4.04
6772469,Region01,0
6772491,Region01,2.95
6740650,Region01,0
6742214,Region01,154.95
6741154,Region01,9.81
6741180,Region01,2.84
6740950,Region01,2.74
6741016,Region01,8.96
6772605,Region01,4.88
6773377,Region01,0
6771115,Region01,0
6771287,Region01,0
6772863,Region01,5.23
6772853,Region01,2.58
6740710,Region01,13.36
6773111,Region01,0
6773175,Region01,0
6773185,Region01,0
6773251,Region01,0
6772435,Region01,5.28
6772543,Region01,3.51
6772513,Region01,2.79
6773315,Region01,0
6772499,Region01,3.27
6773313,Region01,0
6740670,Region01,12
6771093,Region01,3.22
6771107,Region01,3.17
6773329,Region01,3.81
6741114,Region01,34.89
6741536,Region01,11.27
6745632,Region01,34.54
6741064,Region01,33.51
6773125,Region01,0
6773127,Region01,0
6773213,Region01,0
6773189,Region01,0
6772493,Region01,4.49
6740630,Region01,4.39
6773233,Region01,0
6772959,Region01,5.09
6742394,Region01,0
6771119,Region01,3.38
6740948,Region01,4.16
6771345,Region01,0
6773355,Region01,7.77
6742124,Region01,0
6741484,Region01,0
6741464,Region01,2.94
6773181,Region01,0
6742224,Region01,34.61
6742236,Region01,34.57
6742228,Region01,34.46
6740776,Region01,3.15
6773203,Region01,0
6772495,Region01,5.02
6772963,Region01,5.2
6772515,Region01,5.51
6772969,Region01,5.89
6772453,Region01,0
6740928,Region01,5.88
6740866,Region01,6.72
6771121,Region01,3.87
6771387,Region01,4.76
6771297,Region01,2.21
6773353,Region01,8.96
6773167,Region01,0
6773351,Region01,9.03
6773361,Region01,6.52
6742074,Region01,153.1
6742094,Region01,154.88
6741034,Region01,19.03
6741474,Region01,12.33
6773227,Region01,0
6773029,Region01,3.3
6772965,Region01,4.06
6773239,Region01,0
6772933,Region01,4.23
6772423,Region01,4.47
6773219,Region01,0
6773221,Region01,5.54
6772447,Region01,4.16
6741020,Region01,5.65
6741062,Region01,33.3
6742116,Region01,4.42
6741040,Region01,10.15
6771295,Region01,3.23
6771133,Region01,0
6771139,Region01,3.54
6771303,Region01,3.57
6773217,Region01,0
6773363,Region01,6.76
6773365,Region01,0
6740914,Region01,6.36
6742080,Region01,154.63
6742102,Region01,154.8
6773131,Region01,0
6773119,Region01,0
6771339,Region01,0
6773177,Region01,0
6740860,Region01,2.09
6740858,Region01,1.75
6740864,Region01,3.03
6740542,Region01,2.85
6740546,Region01,2.53
6742392,Region01,0
6741168,Region01,3.74
6742808,Region01,0
6740908,Region01,4.1
6742782,Region01,12.38
6742112,Region01,0
6740690,Region01,0
6742398,Region01,0
6740682,Region01,8
6740746,Region01,7.96
6740878,Region01,3.36
6740876,Region01,3.58
6741526,Region01,5.42
6741078,Region01,6.06
6742258,Region01,0
6740854,Region01,3.49
6740920,Region01,4.6
6742166,Region01,0
6741066,Region01,0
6745786,Region01,0
6742844,Region01,0
6740712,Region01,13.22
6742212,Region01,0
6741014,Region01,2.05
6742840,Region01,0
6740676,Region01,5.97
6744288,Region01,21.45
6740754,Region01,8.42
6742190,Region01,0
6740978,Region01,3.64
6740938,Region01,0
6740970,Region01,4.59
6745858,Region01,0
6742818,Region01,0
6742700,Region01,0
6742828,Region01,0
6742692,Region01,4.81
6743640,Region01,4.54
6741050,Region01,3.86
6742182,Region01,0
6742800,Region01,14.28
6740742,Region01,2.86
6740646,Region01,3.59
6744900,Region01,8.91
6744438,Region01,14.39
6740752,Region01,2.75
6740762,Region01,2.74
6740612,Region01,0
6740680,Region01,2.15
6740990,Region01,5.86
6740836,Region01,0
6742386,Region01,0
6742382,Region01,0
6742864,Region01,0
6742838,Region01,0
6742690,Region01,0
6742432,Region01,0
6745132,Region01,3.35
6740594,Region01,3.92
6740626,Region01,2.33
6740764,Region01,3.42
6740698,Region01,2.47
6740756,Region01,3.86
166174487,Region01,3.05
6740918,Region01,2.98
6740954,Region01,3.07
6740784,Region01,2.75
6740786,Region01,0
6740834,Region01,3.6
6741116,Region01,2.92
6742866,Region01,0
6742852,Region01,0
6742856,Region01,0
6742842,Region01,0
6742456,Region01,0
6740910,Region01,3.09
6740862,Region01,2.65
6745688,Region01,156.37
6745698,Region01,154.23
6745474,Region01,14.75
6744822,Region01,17.27
6745506,Region01,17.15
6745520,Region01,17.93
6742820,Region01,0
6742678,Region01,6.42
6742816,Region01,0
6742672,Region01,6.5
6744170,Region01,2.15
6744070,Region01,11.45
6745624,Region01,0
6744560,Region01,11.57
6745390,Region01,5.18
6745582,Region01,10.68
6744958,Region01,17.15
6745052,Region01,8.14
6745710,Region01,154.58
6743772,Region01,17.76
6743776,Region01,18.8
6743782,Region01,20.72
6743812,Region01,20.28
6743832,Region01,21.02
6746134,Region01,0
6744920,Region01,17.62
6744590,Region01,5.9
6746136,Region01,18.72
6744928,Region01,18.72
6742668,Region01,0
6742676,Region01,0
6742664,Region01,4.27
6742666,Region01,5
6744006,Region01,11
6745618,Region01,0
6744076,Region01,11.03
6744814,Region01,11.9
6744384,Region01,25.55
6745082,Region01,16.87
6746066,Region01,0
6744306,Region01,4.46
6743828,Region01,21.31
6743844,Region01,20.55
6744964,Region01,18.68
6746150,Region01,0
6744968,Region01,18.26
6742670,Region01,5.62
6742674,Region01,0
6742806,Region01,0
6742682,Region01,0
6742688,Region01,0
6744582,Region01,6.21
6744876,Region01,3.72
6745988,Region01,0
6745516,Region01,4.08
6746478,Region01,0
6744988,Region01,10.83
6744550,Region01,13
6746084,Region01,0
6745704,Region01,0
6745692,Region01,0
6744984,Region01,17.49
6746166,Region01,18.79
6744994,Region01,18.03
6746184,Region01,187.81
6742846,Region01,0
6742694,Region01,0
6742858,Region01,0
6742698,Region01,0
6743926,Region01,2.87
6745924,Region01,8.21
6746070,Region01,6.23
6745952,Region01,12.05
6744400,Region01,5.87
6745724,Region01,0
6745054,Region01,3.07
6744890,Region01,6.88
6744368,Region01,25.32
6745106,Region01,16.44
6746472,Region01,0
6745708,Region01,21.07
6743878,Region01,20.39
6745728,Region01,156.17
6745746,Region01,156.17
6746140,Region01,188.72
6746142,Region01,188.25
6746094,Region01,188.89
6746078,Region01,188.85
6742708,Region01,0
6746062,Region01,0
6745470,Region01,2.92
6744796,Region01,3.32
6744874,Region01,5.52
6744568,Region01,3.05
6745158,Region01,15.87
6744610,Region01,12.33
6744892,Region01,6.19
6745426,Region01,16.93
6745774,Region01,154.62
6745794,Region01,156.01
6745872,Region01,155.93
6745916,Region01,156.64
6746076,Region01,181.75
6744694,Region01,5.9
6745480,Region01,6.54
6744772,Region01,16.59
6746086,Region01,0
6744824,Region01,3.46
6744828,Region01,4.55
6744858,Region01,5.21
6744866,Region01,5.27
6745868,Region01,0
6744630,Region01,4.63
6745908,Region01,0
6744292,Region01,24.28
6744486,Region01,13.17
6745464,Region01,10.93
6745544,Region01,16.16
6745888,Region01,156.42
6745894,Region01,156.44
6745926,Region01,156.14
6744776,Region01,17.1
6744792,Region01,17.38
6744806,Region01,17.59
6746122,Region01,0
6744864,Region01,5.56
6746128,Region01,6.62
6744542,Region01,4.7
6744596,Region01,5.71
6744668,Region01,5.05
6746302,Region01,0
6745178,Region01,12.64
6745180,Region01,11.48
6746054,Region01,11.96
6746178,Region01,0
6744758,Region01,3.75
6746110,Region01,2.86
6744808,Region01,2.63
6746120,Region01,3.39
6746080,Region01,4.94
6744934,Region01,0
6744970,Region01,2.93
6745034,Region01,3.46
6743930,Region01,4.95
6743902,Region01,3.69
6744680,Region01,6.04
6746410,Region01,0
6745386,Region01,4.07
6744014,Region01,0
6744856,Region01,3.41
6744886,Region01,2.95
6744894,Region01,3.1
6746154,Region01,0
6744904,Region01,4.91
6746158,Region01,0
6745074,Region01,0
6746148,Region01,0
6745086,Region01,0
6745548,Region01,3.66
6744506,Region01,3.49
6744612,Region01,5.73
6745396,Region01,2.63
6744012,Region01,4.82
6744896,Region01,4.02
6744884,Region01,5.51
6746132,Region01,5.51
6744952,Region01,3.78
6745558,Region01,2.43
6745172,Region01,4.12
6745216,Region01,3.27
6745210,Region01,2.62
6745206,Region01,4.1
6744110,Region01,3.19
6744228,Region01,5.52
6744464,Region01,6.15
6743968,Region01,2.69
6743830,Region01,0
6745070,Region01,3.14
6745016,Region01,3.25
6744992,Region01,4
6745024,Region01,3.51
6745586,Region01,5.06
6747172,Region01,4.32
6746316,Region01,0
6745230,Region01,5.52
6745804,Region01,3.35
6743928,Region01,3.21
6746384,Region01,0
6744744,Region01,6.45
6746392,Region01,0
6743784,Region01,0
6743774,Region01,0
6743688,Region01,0
6743622,Region01,2.73
6745018,Region01,4.19
6744998,Region01,5.12
6744986,Region01,5.46
6746164,Region01,6.74
6744930,Region01,6.07
6747168,Region01,0
6745224,Region01,2.43
6746426,Region01,0
