"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Salmo trutta",0.131875273036814,0.594966263911888,0.271760823895298,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","","","Non-native","Non-native","","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Salvelinus confluentus",0.248985048870355,0.65914732100128,0.0904524323041248,"Game","","","","","","","","","","","","","","","","","Native",""
"Salvelinus fontinalis",0.18801827492853,0.508377744727564,0.302241107681446,"Game","Non-native","Native","Native","Non-native","Non-native","Native","Non-native","","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Salvelinus malma",0.265347200461996,0.620657615406692,0.112599434599687,"Game","","","","","","","","","","","","","","","","","Native",""
"Sander canadensis",0.438130048821057,0.404778044032333,0.155799987633837,"Game","","","","","Non-native","","Non-native","Native","Native","Non-native","","","","","","","",""
"Sander vitreus",0.35048062058084,0.560467271660382,0.0876916167886034,"Game","Non-native","Non-native","","Native","Non-native","Native","Non-native","","Non-native","Non-native","","","","","","Non-native","",""
"Semotilus atromaculatus",0.283353645425477,0.341668276217929,0.373694170361003,"Non-game","Native","Non-native","Non-native","Non-native","Native","Native","Native","Native","Non-native","Non-native","Non-native","","Non-native","Non-native","","","",""
"Semotilus corporalis",0.193248804973886,0.431503661796231,0.373915712059392,"Non-game","Non-native","Native","Non-native","Non-native","","","","","","","","","","","","","",""
"Semotilus thoreauianus",0.126875291477369,0.454660439798455,0.417119615328553,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Thoburnia rhothoeca",0.281430908704513,0.392244140254145,0.325017733597111,"Non-game","","Native","Non-native","","","","","","","","","","","","","","",""
"Tinca tinca",0,0.671662180387803,0.326897326170485,"Game","","","","","","","","","","","","","Non-native","","","","Non-native",""
"Trinectes maculatus",0.03645102956198,0.544442211615444,0.417717042497994,"Non-game","","","Non-native","","","","","","","","","Non-native","","","","","",""
"Umbra limi",0.266285317011197,0.145038621517087,0.587487544189614,"Non-game","Non-native","","","Non-native","Native","Native","Native","Native","Non-native","","","","","","","","",""
"Umbra pygmaea",0.191332100144736,0.258693627480623,0.548733749637549,"Non-game","","Native","Native","","","","","","","","","","","","","","",""
"Cottus chattahoochee",0.538765711982102,0.0415275813623037,0.41858073221669,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Hybopsis winchelli",0.0574775564598211,0.424303620883288,0.516870743828325,"Non-game","","","Non-native","","","","","Non-native","","","","","","","","","",""
"Hybopsis rubrifrons",0.0574775564598211,0.424303620883288,0.516870743828325,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Moxostoma duquesnei",0.202546757530703,0.532849521558732,0.26323276154307,"Non-game","","","Native","Native","Native","Native","Native","","","Native","Native","","","","","","",""
"Moxostoma collapsum",0.202546757530703,0.532849521558732,0.26323276154307,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis percobromus",0.0356859391194714,0.320335945474895,0.64267303937039,"Non-game","","","","","","","Non-native","","Non-native","Non-native","Non-native","","","","","","",""
"Notropis candidus",0.0356859391194714,0.320335945474895,0.64267303937039,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Notropis alborus",0.0356859391194714,0.320335945474895,0.64267303937039,"Non-game","","","Native","","","","","","","","","","","","","","",""
