"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Cyprinella whipplei",0,0.429589377928575,0.569091351073465,"Non-game","","","","","Native","Native","Non-native","Non-native","","","Native","","","","","","",""
"Cyprinella zanema",0,0.424309217745416,0.574363079246329,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Cyprinodon rubrofluviatilis",0,0.24438307016355,0.754339588446876,"Non-game","","","","","","","","","","","Non-native","Native","","","","","",""
"Cyprinus carpio",0,0.713681056191916,0.284879109663024,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Dionda serena",0,0.48038184900446,0.518247431211476,"Non-game","","","","","","","","","","","","Non-native","","","","","",""
"Dorosoma cepedianum",0,0.632552992172003,0.36610130054494,"Non-game","","Native","Native","Non-native","Native","Non-native","Native","Native","","Non-native","Non-native","Native","Native","","","","",""
"Dorosoma petenense",0,0.43991722140213,0.558799925972526,"Non-game","","","Non-native","","","","Non-native","Native","","","Non-native","Non-native","Native","","","","","Non-native"
"Elassoma evergladei",0.217419031864652,0.00785426889941515,0.773583203940874,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Elassoma zonatum",0.104707071496096,0.162026314348787,0.732050980901743,"Non-game","","","Non-native","","","","","Native","","","","Non-native","","","","","",""
"Enneacanthus chaetodon",0.0741991932726752,0.540426800181722,0.384004303382845,"Non-game","","Native","Non-native","","","","","","","","","","","","","","",""
"Enneacanthus gloriosus",0.141023357489201,0.479703712824128,0.377933624903844,"Non-game","","Native","Native","","","","","","","","","","","","","","",""
"Enneacanthus obesus",0.125335622760509,0.492105786126394,0.381211180312453,"Non-game","Native","Native","Native","","","","","","","","","","","","","","",""
"Notropis amplamala",0,0.487703114692863,0.510936467152861,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Erimystax dissimilis",0.118592462366356,0.285157193959718,0.594970708659094,"Non-game","","","","","Native","Native","","","","","Non-native","","","","","","",""
"Erimystax harryi",0.0323197019075461,0.387452978671542,0.578895721397858,"Non-game","","","","","","","","","","","Native","","","","","","",""
"Erimyzon oblongus",0.133906694198077,0.551223701257694,0.313486229615116,"Non-game","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","Non-native","","","Non-native","Non-native","","","","","",""
"Erimyzon sucetta",0.133079910035307,0.538920221657762,0.326621817805777,"Non-game","","Non-native","Native","","","","Native","","","","","Native","","","","","",""
"Esox americanus",0.473421453412536,0.266069824905247,0.259278813401948,"Non-game","Non-native","Native","Native","Native","Non-native","Native","Non-native","Native","","Non-native","Native","Native","","","","","",""
"Esox lucius",0.462371181026136,0.483526319617737,0.0527833898627043,"Game","Non-native","","","Non-native","","","Native","","Native","Non-native","","","Non-native","","","","",""
"Esox masquinongy",0.424386534111018,0.574284183932729,0,"Game","","Non-native","","","Native","","Non-native","","","","","","","","","","",""
"Esox niger",0.475069333104251,0.404875158057565,0.118768973815492,"Game","Non-native","Native","Native","Native","Non-native","","","Native","","","Native","Non-native","","","","","",""
"Etheostoma asprigene",0.321757163791075,0.102870159416838,0.574188906625255,"Non-game","","","Non-native","","Non-native","","Non-native","Non-native","","","","Non-native","","","","","",""
"Etheostoma blennioides",0.363434972507296,0.159569954607132,0.475783122106022,"Non-game","","Non-native","Non-native","Non-native","Native","Native","Non-native","Native","","Native","Non-native","","","","","","",""
"Etheostoma caeruleum",0.26259427238731,0.153034033551975,0.583155004217038,"Non-game","","Non-native","","Native","Non-native","Native","Non-native","Native","","Native","Native","","","","","","",""
"Etheostoma camurum",0.281784430170029,0.155852059332645,0.561147984793592,"Non-game","","","","","Native","Native","","","","","","","","","","","",""
"Etheostoma chlorosoma",0.341676055344152,0.116148441883621,0.540982933673967,"Non-game","","","Non-native","","Non-native","","","Non-native","","","Non-native","Non-native","","","","","",""
"Etheostoma collis",0.340784126480978,0.0851446131782627,0.572895881645579,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma coosae",0.320465873046403,0.129046490330268,0.549292372460131,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma cragini",0.326673748785334,0.0882762736623892,0.583878550401208,"Non-game","","","","","","","","","","","Native","","","","","","",""
"Etheostoma duryi",0.302025405032876,0.112730509074426,0.584055110790404,"Non-game","","","","","","Native","","","","","","","","","","","",""
"Etheostoma edwini",0.318787877950667,0.132965749358575,0.547043446058689,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Etheostoma euzonum",0.350774076191957,0.0771715201447402,0.570883841952261,"Non-game","","","","","","","","","","Non-native","Non-native","","","","","","",""
"Etheostoma exile",0.31646483198551,0.190080588691263,0.492227990980011,"Non-game","","","","Native","Native","","Non-native","","Non-native","Non-native","","","","","","","",""
"Etheostoma flabellare",0.342627294098018,0.0746464570521986,0.581559728830301,"Non-game","","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","","","Non-native","Non-native","","","","","","",""
"Etheostoma fusiforme",0.293597982702323,0.154355820099927,0.550831912507448,"Non-game","Non-native","Native","Native","","","","","","","","","","","","","","",""
"Etheostoma gracile",0.298935522266928,0.0859515872925206,0.613926670914195,"Non-game","","","Non-native","","Non-native","","Non-native","Non-native","","","Non-native","Non-native","","","","","",""
"Etheostoma hopkinsi",0.285684565879942,0.136974287415957,0.576138585120443,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma inscriptum",0.325564094280147,0.105699768248037,0.56754972890848,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma jordani",0.328586894046459,0.101182855041545,0.56904719262484,"Non-game","","","Native","","","","","Native","","","","","","","","","",""
"Etheostoma juliae",0.275839264602451,0.154964276071795,0.567979739110351,"Non-game","","","","","","","","","","","Non-native","","","","","","",""
"Etheostoma lepidum",0.320913126428151,0.104060104574041,0.57383609312624,"Non-game","","","","","","","","","","","","Native","","","","","",""
"Etheostoma longimanum",0.320597757381697,0.0936682307085665,0.584553356885648,"Non-game","","Non-native","Non-native","","","","","","","","","","","","","","",""
"Etheostoma maculatum",0.290747379234385,0.12639501021821,0.581666564543589,"Non-game","","","","","Non-native","","","","","","","","","","","","",""
"Etheostoma nigripinne",0.345802539363687,0.0684649099444155,0.584563981262648,"Non-game","","","","","","Non-native","","","","","","","","","","","",""
"Etheostoma nigrum",0.386786789204076,0,0.612086340339012,"Non-game","","Non-native","Native","Non-native","Native","Native","Non-native","Native","Non-native","Non-native","Native","","","","","","",""
"Etheostoma olmstedi",0.343681556352838,0.0846939237993736,0.570455747013411,"Non-game","Non-native","Native","Native","Native","","","","","","","","","","","","","",""
"Etheostoma punctulatum",0.310372381495283,0.107052168090505,0.581388434015857,"Non-game","","","","","","","Non-native","","","Non-native","Non-native","","","","","","",""
"Etheostoma ramseyi",0.304342326652841,0.120512159053368,0.573952813712173,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma rufilineatum",0.245729785518965,0.206705013635254,0.546325161303688,"Non-game","","","","","Non-native","Native","","","","","","","","","","","",""
"Etheostoma rupestre",0.368435151749493,0.0647511991867512,0.565649830525764,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma scotti",0.302682854577744,0.113764876066711,0.582361355638329,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Etheostoma serrifer",0.278115406842908,0.151636280681487,0.569039891975547,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Etheostoma simoterum",0.290763551588854,0.131899017326013,0.576139311141667,"Non-game","","","","","Non-native","Non-native","","Non-native","","","","","","","","","",""
"Etheostoma spectabile",0.280562981890993,0.14119129678534,0.577036606039012,"Non-game","","","","Non-native","Non-native","","Non-native","Non-native","","Non-native","Non-native","Non-native","","","","","",""
"Etheostoma stigmaeum",0.382319068109738,0.07792526013273,0.53858088342956,"Non-game","","","Non-native","","Non-native","Non-native","","Non-native","","","Non-native","","","","","","",""
"Etheostoma swaini",0.361142639823661,0.0569863496901592,0.580709551074742,"Non-game","","","Non-native","","","","","Non-native","","","","","","","","","",""
"Etheostoma swannanoa",0.288405921870485,0.148565631054023,0.561822274655614,"Non-game","","","","","","Native","","","","","","","","","","","",""
"Etheostoma tallapoosae",0.318741907497071,0.10166914355051,0.578405170797604,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Etheostoma tetrazonum",0.33695414123791,0.0995285615281693,0.562329313740554,"Non-game","","","","","","","Non-native","","","Non-native","","","","","","","",""
"Etheostoma thalassinum",0.322673444064163,0.0929355681202633,0.583209438486984,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Etheostoma tippecanoe",0.265138485247154,0.181497944254155,0.552135931923598,"Non-game","","","","","Non-native","","","","","","","","","","","","",""
"Etheostoma variatum",0.306853074044122,0.17914732049219,0.512776625239807,"Non-game","","","","","Non-native","","","","","","","","","","","","",""
"Etheostoma vitreum",0.428075536505966,0.0293927327217642,0.541381465212714,"Non-game","","Native","Native","","","","","","","","","","","","","","",""
"Etheostoma vulneratum",0.267305976310435,0.142243687299761,0.58924409953805,"Non-game","","","","","","Native","","","","","","","","","","","",""
"Etheostoma whipplei",0.285967925095285,0.137714812745743,0.575115139801877,"Non-game","","","Non-native","","","","","Non-native","","","Non-native","","","","","","",""
"Etheostoma zonale",0.250144956358775,0.180248077398036,0.56837769816107,"Non-game","","Non-native","Non-native","Non-native","Non-native","Native","Native","","","Native","Native","","","","","","",""
"Exoglossum laurae",0.138435684167105,0.320197301945122,0.540070296678433,"Non-game","","","","","Native","","","","","","","","","","","","",""
"Exoglossum maxillingua",0.0599004971487996,0.406223895905123,0.53253987367811,"Non-game","Native","Non-native","Non-native","Non-native","Non-native","","","","","","","","","","","","",""
"Fundulus catenatus",0.215085282701681,0.116411753932872,0.667298335292764,"Non-game","","","Non-native","","Non-native","Native","Native","Native","","Native","Non-native","","","","","","",""
"Fundulus chrysotus",0.138881963418619,0.155912629308603,0.703977519815441,"Non-game","","","Native","","","","","","","","Non-native","Native","","","","","",""
"Fundulus diaphanus",0.197955902467809,0.139753359427832,0.661078644737174,"Non-game","Native","Native","","Native","Non-native","","Native","","","","","","","","","","Non-native",""
"Fundulus dispar",0.162427544956267,0.152800476035591,0.683547725629028,"Non-game","","","","","Non-native","","Non-native","Non-native","","","","","","","","","",""
