"Scientific.Name","HUC2","Native"
"Hybopsis.lineapunctata","03","Non-native"
"Hybopsis.rubrifrons","03","Non-native"
"Hybopsis.winchelli","03","Non-native"
"Hybopsis.winchelli","08","Non-native"
"Hypentelium.etowanum","08","Non-native"
"Hypentelium.nigricans","02","Non-native"
"Hypentelium.nigricans","03","Non-native"
"Hypentelium.nigricans","10","Non-native"
"Hypophthalmichthys.nobilis","08","Non-native"
"Hypophthalmichthys.nobilis","10","Non-native"
"Ichthyomyzon.castaneus","04","Non-native"
"Ichthyomyzon.castaneus","05","Non-native"
"Ichthyomyzon.castaneus","08","Non-native"
"Ichthyomyzon.castaneus","09","Non-native"
"Ichthyomyzon.fossor","07","Non-native"
"Ichthyomyzon.fossor","09","Non-native"
"Ichthyomyzon.gagei","06","Non-native"
"Ichthyomyzon.gagei","08","Non-native"
"Ichthyomyzon.greeleyi","06","Non-native"
"Ichthyomyzon.unicuspis","04","Non-native"
"Ictalurus.furcatus","11","Non-native"
"Ictalurus.furcatus","12","Non-native"
"Ictalurus.punctatus","02","Non-native"
"Ictalurus.punctatus","03","Non-native"
"Ictalurus.punctatus","05","Non-native"
"Ictalurus.punctatus","07","Non-native"
"Ictalurus.punctatus","10","Non-native"
"Ictalurus.punctatus","13","Non-native"
"Ictalurus.punctatus","14","Non-native"
"Ictalurus.punctatus","15","Non-native"
"Ictalurus.punctatus","16","Non-native"
"Ictalurus.punctatus","17","Non-native"
"Ictalurus.punctatus","18","Non-native"
"Ictiobus.bubalus","03","Non-native"
"Ictiobus.bubalus","05","Non-native"
"Ictiobus.bubalus","07","Non-native"
"Ictiobus.bubalus","10","Non-native"
"Ictiobus.bubalus","11","Non-native"
"Labidesthes.sicculus","03","Non-native"
"Labidesthes.sicculus","10","Non-native"
"Labidesthes.sicculus","12","Non-native"
"Lepisosteus.oculatus","03","Non-native"
"Lepisosteus.oculatus","05","Non-native"
"Lepisosteus.oculatus","07","Non-native"
"Lepisosteus.oculatus","11","Non-native"
"Lepisosteus.oculatus","12","Non-native"
"Lepisosteus.osseus","05","Non-native"
