"SampleID","Npass"
"BDB-000031403",2
"BDB-000031404",2
"BDB-000031405",2
"BDB-000031406",2
"BDB-000031407",2
"BDB-000031410",1
"BDB-000031411",2
"BDB-000031416",1
"BDB-000031421",1
"BDB-000031422",1
"BDB-000031423",1
"BDB-000031424",1
"BDB-000031425",1
"BDB-000031456",1
"BDB-000031458",1
"BDB-000031459",1
"BDB-000031461",1
"BDB-000031472",2
"BDB-000031476",1
"BDB-000031477",1
"BDB-000031482",2
"BDB-000031484",2
"BDB-000031485",2
"BDB-000031486",2
"BDB-000031487",2
"BDB-000031520",2
"BDB-000031558",1
"BDB-000031560",1
"BDB-000031562",1
"BDB-000031564",1
"BDB-000031565",1
"BDB-000031566",1
"BDB-000031567",1
"BDB-000031568",1
"BDB-000031569",1
"BDB-000031570",1
"BDB-000031571",1
"BDB-000031572",1
"BDB-000031573",1
"BDB-000031574",1
"BDB-000031575",1
"BDB-000031577",1
"BDB-000031578",2
"BDB-000031579",2
"BDB-000031580",2
"BDB-000031581",2
"BDB-000031582",2
"BDB-000031583",2
"BDB-000031587",1
"BDB-000031590",1
"BDB-000031591",2
"BDB-000031592",2
"BDB-000031593",2
"BDB-000031595",2
"BDB-000031596",2
"BDB-000031598",2
"BDB-000031599",1
"BDB-000031601",2
"BDB-000031602",2
"BDB-000031603",2
"BDB-000031604",2
"BDB-000031605",2
"BDB-000031662",2
"BDB-000031663",2
"BDB-000031664",2
"BDB-000031665",3
"BDB-000031667",2
"BDB-000031668",4
"BDB-000031669",4
"BDB-000031671",3
"BDB-000031672",3
"BDB-000031673",3
"BDB-000031674",3
"BDB-000031675",4
"BDB-000031676",3
"BDB-000031677",4
"BDB-000031678",3
"BDB-000031679",3
"BDB-000031680",3
"BDB-000031681",3
"BDB-000031682",3
"BDB-000031683",3
"BDB-000031684",2
"BDB-000031685",3
"BDB-000031686",3
"BDB-000031687",3
"BDB-000031688",3
"BDB-000031689",3
"BDB-000031690",2
"BDB-000031692",2
"BDB-000031704",2
"BDB-000031706",1
"BDB-000031707",2
"BDB-000031708",2
"BDB-000031710",2
"BDB-000031711",1
"BDB-000031712",2
"BDB-000031713",2
"BDB-000031714",2
"BDB-000031715",2
"BDB-000031716",2
"BDB-000031717",2
"BDB-000031719",2
"BDB-000031721",2
"BDB-000031722",2
"BDB-000031723",2
"BDB-000031724",2
"BDB-000031726",2
"BDB-000031728",2
"BDB-000031729",2
"BDB-000031730",2
"BDB-000031731",2
"BDB-000031732",2
"BDB-000031733",2
"BDB-000031734",2
"BDB-000031735",1
"BDB-000031736",2
"BDB-000031737",2
"BDB-000031738",2
"BDB-000031739",2
"BDB-000031740",2
"BDB-000031741",2
"BDB-000031742",2
"BDB-000031743",2
"BDB-000031744",2
"BDB-000031745",2
"BDB-000031746",2
"BDB-000031747",2
"BDB-000031748",2
"BDB-000031749",2
"BDB-000031750",2
"BDB-000031751",2
"BDB-000031752",1
"BDB-000031769",1
"BDB-000031773",1
"BDB-000031774",1
"BDB-000031775",1
"BDB-000031776",1
"BDB-000031777",1
"BDB-000031778",1
"BDB-000031779",1
"BDB-000031780",1
"BDB-000031781",1
"BDB-000031786",2
"BDB-000031787",1
"BDB-000031789",1
"BDB-000031791",1
"BDB-000031792",1
"BDB-000031805",2
"BDB-000031806",1
"BDB-000031807",1
"BDB-000031808",1
"BDB-000031809",1
"BDB-000031810",1
"BDB-000031811",1
"BDB-000031812",1
"BDB-000031813",1
"BDB-000031814",1
"BDB-000031815",1
"BDB-000031816",1
"BDB-000031817",1
"BDB-000031818",1
"BDB-000031819",1
"BDB-000031820",1
"BDB-000031821",1
